What,Where,When,How_Much
Moderne dansk aften.,"Unitarernes Hus, Dag Hammarskjölds Allé 30, Copenhagen Ø","Tues 6 March 2018, 7.30 pm.",(Entrance fee: 90 - 150 DKK)
Orgelkoncert: Martin Norddahl.,"Sct. Thomas kirke, Rolighedsvej 16, Frederiksberg C","Tues 6 March 2018, 7.30 pm.",(Free admission)
All Tvvins (IE).,"Ideal Bar, Enghavevej 40, Copenhagen V","Tues 6 March 2018, 8 pm.",(Entrance fee)
Jam-session på Lipperts.,"Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup","Wed 7 March 2018, 6 pm.",(Free admission)
Bo Evers (50/50 koncert).,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Wed 7 March 2018, 7.30 pm.",(Entrance fee: 55 DKK)
Joan Baez - Fare Thee Well.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Wed 7 March 2018, 8 pm.",(Entrance fee: 320 - 670 DKK)
Ankerstjerne (DK).,"VEGA, Enghavevej 40, Copenhagen V","Wed 7 March 2018, 9 pm.","(Entrance fee: 175,00 DKK)"
"Anne dorte michelsen - solo ""jeg vil huske"".","Restaurant Beghuset, Strandgade 14, Dragør","Thur 8 March 2018, 6 pm.","(Entrance fee: Kr 418,- inklusiv)"
Svend Emmes egne viser og en aften om kærlighed.,"Telefonfabrikken - Gladsaxe Kulturhus, Telefonvej 8, Søborg","Thur 8 March 2018, 7.30 pm  - 10 pm.",(Entrance fee: Medlemmer gratis gæster 50 DKK.)
King Gizzard & The Lizard Wizard (aus).,"Pumpehuset, Studiestræde 52, Copenhagen V","Thur 8 March 2018, 9 pm.",
The Attic Sleepers.,"Huset - KBH, Rådhusstræde 13, Copenhagen K","Thur 8 March 2018, 9 pm.","(Entrance fee: 140,00 DKK)"
Erasure.,"Royal Arena, Hannemanns Allé 18-20, Copenhagen S","Fri 9 March 2018, 8 pm.","(Entrance fee: 450,00 dkk - 480,00 dkk)"
Alberte Winding Band.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Fri 9 March 2018, 8 pm.",(Entrance fee)
"Jes Holtsø, Tobias Trier & Morten Wittrock.","Kulturhuset Pilegården, Brønshøjvej 17, Brønshøj","Fri 9 March 2018, 8 pm  - 10 pm.",(Entrance fee: 120 DKK)
Marvelous Mosell.,"VEGA, Enghavevej 40, Copenhagen V","Fri 9 March 2018, 9 pm.",(Entrance fee: 275 DKK)
Sherzandum + support TBA.,"Bartof Station, Solbjergvej 3, Frederiksberg","Fri 9 March 2018, 9 pm.",(Entrance fee)
Koncert med Jonas Breum og Brønshøj kirkes pigekor.,"Brønshøj Kirke, Brønshøj Kirkevej 8, Brønshøj","Sat 10 March 2018, 3 pm  - 4 pm.",
Blancmange Live + Artist Talk + Afterparty.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Sat 10 March 2018, 7.30 pm.",(Entrance fee: Standard billet 225 DKK. + gebyr / VIP 295 DKK. + gebyr)
"Anne Dorte Michelsen, Solo.","Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Sat 10 March 2018, 8 pm.",(Entrance fee: 200 DKK)
Jessie Ware.,"VEGA, Enghavevej 40, Copenhagen V","Sat 10 March 2018, 8 pm.",
The Chainsmokers: Euro Memories... Do Not Open Tour.,"Royal Arena, Hannemanns Allé 18-20, Copenhagen S","Sat 10 March 2018, 8 pm.",(Entrance fee)
Dream Wife (UK).,"Ideal Bar, Enghavevej 40, Copenhagen V","Sat 10 March 2018, 8 pm.","(Entrance fee: 105,00 DKK)"
Lis Sørensen.,"Galaksen, Bymidten 48, Værløse","Sat 10 March 2018, 8 pm.",(Entrance fee: 350 - 500 DKK)
Carl Emil Petersen (SOLO).,"Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup","Sat 10 March 2018, 8 pm.",(Entrance fee: 170 DKK + evt. gebyr)
Pligten Kalder.,"Kulturstationen Vanløse, Frode Jakobsens Plads 4 / Jernbane Allé 38, Vanløse","Sat 10 March 2018, 8.30 pm.",(Entrance fee: 180 DKK inkl. gebyr)
Seth Walker (us).,"Mojo Blues bar, Løngangsstræde 21 C, Copenhagen K","Sat 10 March 2018, 10 pm.",(Entrance fee: 100 DKK)
Erik Grip.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Sun 11 March 2018, 2 pm.",(Entrance fee)
DR PigeKorets forår.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Sun 11 March 2018, 7.30 pm.",
Søren Huss.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 11 March 2018, 8 pm.",(Entrance fee: 245 - 345 DKK)
First Aid Kit.,"VEGA, Enghavevej 40, Copenhagen V","Sun 11 March 2018, 8 pm.",
Alvvays (CA).,"VEGA, Enghavevej 40, Copenhagen V","Sun 11 March 2018, 8 pm.",(Entrance fee)
Big Daddy Wilson (US).,"Kulturhuset Pilegården, Brønshøjvej 17, Brønshøj","Sun 11 March 2018, 8 pm  - 10 pm.",(Entrance fee: 140 DKK.)
Heaven Shall Burn.,"Pumpehuset, Studiestræde 52, Copenhagen V","Mon 12 March 2018, 7 pm.","(Entrance fee: 300,00 DKK)"
Cophenhagen Saxophone Quartet.,"Taastrup Musikforening, Taastrup Kulturcenter, Poppel Allé 12, Taastrup","Mon 12 March 2018, 7.30 pm.",
Enghave Barok. 6. koncert i Lyngby Taarbæk Musikforening.,"Christianskirken, Christian X's Allé 122, Kongens Lyngby","Mon 12 March 2018, 7.30 pm.",(Entrance fee: 130 DKK.)
"Køn, magt og kategorier i skandinaviske middelalderlige ballader v. Ingrid Åkesson.","Metronomen, Godthåbsvej 33, Frederiksberg","Mon 12 March 2018, 7.30 pm.",(Free admission)
DR PigeKorets forår.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Tues 13 March 2018, 7.30 pm.",(Entrance fee: 100 - 180 DKK)
Strube & Repete.,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Wed 14 March 2018, 7.30 pm.",(Entrance fee: 125 DKK)
Burhan G - Venteliste.,"VEGA, Enghavevej 40, Copenhagen V","Wed 14 March 2018, 8 pm.","(Entrance fee: 300,00 DKK)"
Carnifex + support.,"Pumpehuset, Studiestræde 52, Copenhagen V","Wed 14 March 2018, 8 pm.","(Entrance fee: 250,00 DKK)"
Veto - Få Billetter.,"VEGA, Enghavevej 40, Copenhagen V","Thur 15 March 2018, 8 pm.","(Entrance fee: 200,00 DKK)"
Skar's Blues Band spiller i Farum Jazzklub.,"Farum Jazzklub, Ellegården, Stavnsholtvej 168, Farum","Thur 15 March 2018, 8 pm.",
Dansk Selskab For Russisk Musik.,"Metronomen, Godthåbsvej 33, Frederiksberg","Thur 15 March 2018, 8.00 pm  - 10.00 pm.",(Entrance fee: 100 DKK/ 70 DKK ved døren)
Django Django (UK).,"VEGA, Enghavevej 40, Copenhagen V","Thur 15 March 2018, 9 pm.","(Entrance fee: 200,00 DKK)"
Göteborg Symfonikerne.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 16 March 2018, 7.30 pm.",(Entrance fee: 60 - 407 DKK)
Martin Brygmann med Band & Danmarks Underholdningsorkester.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Fri 16 March 2018, 8 pm.",
Steffen Jungersen - Rock & Røverhistorier.,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Fri 16 March 2018, 8 pm.",(Entrance fee: 100 DKK)
Ramslag Folkets Hus Spillefolk.,"Metronomen, Godthåbsvej 33, Frederiksberg","Fri 16 March 2018, 8 pm.",(Entrance fee: Kr 30)
Sangaften med fremtidens stjerner på MGK.,"Musikhøjskolen, Smallegade 12, Frederiksberg","Fri 16 March 2018, 8 pm.",(Free admission)
Souvenirs.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Fri 16 March 2018, 8 pm.","(Entrance fee: 130,00 DKK)"
Blondage.,"Hotel Cecil, Niels Hemmingsens Gade 10, Copenhagen K","Fri 16 March 2018, 8 pm.","(Entrance fee: 175,00 DKK)"
Sonja Hald.,"Karens Minde Kulturhus, Wagnersvej 19, Copenhagen SV","Fri 16 March 2018, 9 pm.",(Entrance fee: Forsalg: 70 - 90 DKK // I døren: 90 - 110 DKK)
Søs Fenger.,"Kongekilden, Enghavevej 8, Dyrehaven, Klampenborg","Sat 17 March 2018, 7 pm.","(Entrance fee: 620,00 dkk - 820,00 dkk)"
Tonight Alive.,"Pumpehuset, Studiestræde 52, Copenhagen V","Sat 17 March 2018, 8 pm.","(Entrance fee: 245,00 DKK)"
Blues Beatles (BR).,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Sat 17 March 2018, 8 pm.",(Entrance fee: 175 DKK)
Queen Machine.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Sat 17 March 2018, 8 pm.","(Entrance fee: 270,00 DKK)"
Det Åbne Hus spiller op til folkedans på Stades Krog 9.,"Lyngby Sognegård, Stades Krog 9, Kongens Lyngby","Sat 17 March 2018, 8 pm.",(Entrance fee: 40 DKK)
Dobbeltkoncert: Niels Skousen og Kristina Holgersen.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Sat 17 March 2018, 8 pm.",(Entrance fee: 160 DKK. + Gebyr / 180 DKK. i døren)
Andreas Bo med band - Akustisk koncert.,"Herlev Teaterbio, Herlev Bygade 30, Herlev","Sat 17 March 2018, 8 pm.",(Entrance fee: 175 DKK)
Sort Sol.,"Forum Copenhagen, Julius Thomsens Plads 1, Frederiksberg C","Sat 17 March 2018, 8 pm.","(Entrance fee: 455,00 DKK)"
Frank Carter & The Rattlesnakes (UK).,"VEGA, Enghavevej 40, Copenhagen V","Sat 17 March 2018, 9 pm.","(Entrance fee: 200,00 DKK)"
D'Angelo.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 17 March 2018, 9 pm.",(Entrance fee: 495 - 695 DKK)
Tom Misch (live) (uk) - Flyttet.,"VEGA, Enghavevej 40, Copenhagen V","Sat 17 March 2018, 9 pm.","(Entrance fee: 175,00 DKK)"
1/2 12 Koncerter.,"Metronomen, Godthåbsvej 33, Frederiksberg","Sun 18 March 2018, 11.30 am.",(Entrance fee: 90 DKK. medlemmer af Venneforening 50 DKK)
Jazz Menu - Forår 2018.,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Sun 18 March 2018, 1 pm.",(Entrance fee: 110 DKK)
Musikken fra Cirkus Summarum.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 18 March 2018, 1 pm  & 3 pm.",(Entrance fee: 140 - 175 DKK)
Lakha Khan.,"Galaksen, Bymidten 48, Værløse","Sun 18 March 2018, 3 pm.",(Entrance fee: 165 DKK)
Koncert: Flamenco Requiem med Vokalgruppen Kolorit.,"Lundehus Kirke, Strødamvej 1, Copenhagen Ø","Sun 18 March 2018, 3 pm  - 4.30 pm.",
Passionskoncert.,"Garnisonskirken, Sankt Annæ Plads 4, Copenhagen K","Sun 18 March 2018, 4 pm.",(Entrance fee: 85 - 150 DKK)
Bach og Bibelen.,"Mariendals Kirke, Nitivej 17, Frederiksberg","Sun 18 March 2018, 4 pm  - 5 pm.",
Palæ Bar Jazz.,"Palæ Bar, Ny Adelgade 5, Copenhagen K","Sun 18 March 2018, 5 pm  - 8 pm.",(Free admission)
Ace Tee & Kwam.e (DE).,"Ideal Bar, Enghavevej 40, Copenhagen V","Sun 18 March 2018, 8 pm.","(Entrance fee: 140,00 DKK)"
Apocalyptica.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 18 March 2018, 8 pm.",(Entrance fee: 345 - 395 DKK)
Jamie Lawson.,"VEGA, Enghavevej 40, Copenhagen V","Sun 18 March 2018, 8 pm.",(Entrance fee: 230 DKK)
Michael Mcdonald - Udsolgt.,"VEGA, Enghavevej 40, Copenhagen V","Sun 18 March 2018, 8 pm.","(Entrance fee: 450,00 DKK)"
Harry Styles.,"Royal Arena, Hannemanns Allé 18-20, Copenhagen S","Mon 19 March 2018, 8 pm.","(Entrance fee: 390,00 dkk - 610,00 dkk)"
Skotsk Irsk Musikscene.,"Baltoppen Live, Baltorpvej 20, Ballerup","Tues 20 March 2018, 7.30 pm.",(Entrance fee: 140 DKK + evt. gebyr)
Noah Gundersen (US).,"VEGA, Enghavevej 40, Copenhagen V","Tues 20 March 2018, 8 pm.","(Entrance fee: 170,00 DKK)"
Level 42.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Tues 20 March 2018, 8 pm.",(Entrance fee: 370 - 470 DKK)
Onsdags-jazz på Lipperts.,"Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup","Wed 21 March 2018, 6 pm.",(Free admission)
Passionsspil Sankt Annæ Skole.,"Solvang Kirke, Remisevej 10-12, Copenhagen S","Wed 21 March 2018, 7 pm  - 10 pm.",
"Kammermusikforeningen af 1911, Poseidon Kvartetten m. gæst.","Garnisonskirken, Sankt Annæ Plads 4, Copenhagen K","Wed 21 March 2018, 7.30 pm.",(Entrance fee: Ikke-medlemmer 130 DKK.1)
Debutkoncert - Victor Sørensen.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Wed 21 March 2018, 7.30 pm.",(Free admission)
Esko Järvelä Epic Male Band.,"Baltoppen Live, Baltorpvej 20, Ballerup","Wed 21 March 2018, 8 pm.",(Entrance fee: 140 DKK + evt. gebyr)
Bearcubs (uk) - Flyttet.,"Ideal Bar, Enghavevej 40, Copenhagen V","Wed 21 March 2018, 8 pm.","(Entrance fee: 115,00 DKK)"
Desiigner (US).,"Den Grå Hal, Christiania, Refshalevej 2, Copenhagen K","Wed 21 March 2018, 8 pm.","(Entrance fee: 245,00 DKK)"
Pinegrove + special guest Phoebe Bridgers.,"Loppen, Christiania, Bådsmandsstræde 43, Copenhagen K","Wed 21 March 2018, 8.30 pm.",(Entrance fee: 140 DKK)
Hugo Helmig (DK).,"VEGA, Enghavevej 40, Copenhagen V","Wed 21 March 2018, 9 pm.","(Entrance fee: 165,00 DKK)"
"ALL SWING & BOSSA, Ole Schmidt, tenorsax og Jørgen Schaarup, guitar.","Argentinsk Vinbar Tango y Vinos, Herluf Trolles gade 9, Copenhagen K","Thur 22 March 2018, 7 pm  - 9 pm.",
Generalforsamling.,"Telefonfabrikken - Gladsaxe Kulturhus, Telefonvej 8, Søborg","Thur 22 March 2018, 7 pm  - 10 pm.",(Entrance fee: Medlemmer gratis gæster 50 DKK.)
Syng Sammen Aften.,"Rheumhus, Albjergparken 4, Brøndby Strand","Thur 22 March 2018, 7.30 pm.",(Free admission)
Rose Room Dixie.,"Jonstruphus, Jonstrupvangvej 159, Værløse","Thur 22 March 2018, 7.30 pm.",
Påskekoncert med Gospelkor.,"Eliaskirken, Vesterbros Torv, Vesterbrogade 49, Copenhagen V","Thur 22 March 2018, 7.30 pm  - 8.45 pm.",
Burhan G.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 22 March 2018, 8 pm.",(Entrance fee: 370 DKK)
Barbara Moleko trio.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Thur 22 March 2018, 8 pm.",(Entrance fee)
Trivium + support.,"Pumpehuset, Studiestræde 52, Copenhagen V","Thur 22 March 2018, 8 pm.","(Entrance fee: 355,00 DKK)"
CPHPHIL Tre gange 1. symfoni.,"Det kgl. Danske Musikkonservatoriums Koncertsal, Julius Thomsensgade 1, Frederiksberg C","Fri 23 March 2018, 7.30 pm.",(Entrance fee: 210-410 DKK + evt. gebyr)
Scarlet Pleasure.,"Forum Copenhagen, Julius Thomsens Plads 1, Frederiksberg C","Fri 23 March 2018, 8 pm.",(Entrance fee: 250 DKK)
Tørfisk.,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Fri 23 March 2018, 8 pm.",(Entrance fee: 225 DKK)
Michael Falch - Solo - Udsolgt!,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Fri 23 March 2018, 8 pm.","(Entrance fee: 295,00 DKK)"
Støttekoncert Søren Sebber & Lune Carlsen.,"Glostrup Bio, Bryggergårdsvej 2, Glostrup","Fri 23 March 2018, 8 pm.",
DR Big Band præsenterer Lisa Nilsson - Jazz og hits.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 23 March 2018, 8 pm.",(Entrance fee: 170 - 420 DKK)
Whomadewho (dk).,"VEGA, Enghavevej 40, Copenhagen V","Fri 23 March 2018, 8 pm.","(Entrance fee: 200,00 DKK)"
Route 66 - 60'er musik - Dreamers.,"Ellegården, Stavnsholtvej 168, Farum","Fri 23 March 2018, 8.30 pm  - kl. 00.30.",(Entrance fee: 100/140)
De Danske Hyrder (DK).,"VEGA, Enghavevej 40, Copenhagen V","Fri 23 March 2018, 9 pm.","(Entrance fee: 165,00 DKK)"
Bach - Johannespassion.,"Helligaandskirken, Niels Hemmingsens Gade 5, Copenhagen K","Sat 24 March 2018, 3 pm.","(Entrance fee: 200,00 DKK)"
Koncertserien 24 - koncerter med unge talenter.,"Metronomen, Godthåbsvej 33, Frederiksberg","Sat 24 March 2018, 4 pm.",(Free admission)
DR Big Band præsenterer Lisa Nilsson - Jazz og hits.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 24 March 2018, 4 pm.",(Entrance fee: 170 - 420 DKK)
Bachs Johannespassion med KantateKoret.,"Holmens Kirke, Holmens Kanal 21, Copenhagen K","Sat 24 March 2018, 4 pm  - 6 pm.",(Entrance fee)
Bjørn Eidsvåg.,"Christians Kirke, Strandgade 1, Copenhagen K","Sat 24 March 2018, 5 pm.","(Entrance fee: 265,00 DKK)"
Select Captain / Kajsa Vala.,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Sat 24 March 2018, 8 pm.",(Entrance fee: 125 DKK)
Go Go Berlin.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 24 March 2018, 8 pm.",(Entrance fee: 220 DKK)
Kesi (DK).,"VEGA, Enghavevej 40, Copenhagen V","Sat 24 March 2018, 8 pm.","(Entrance fee: 250,00 DKK)"
Rejjie Snow.,"Pumpehuset, Studiestræde 52, Copenhagen V","Sat 24 March 2018, 9 pm.",(Entrance fee: 200 DKK)
Koncert i Solgårdens Café.,"Solgården plejehjem, Virumvej 125, Virum","Sun 25 March 2018, 2.30 pm.",(Free admission)
Caroline Henderson.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 25 March 2018, 4 pm  & 8 pm.",(Entrance fee: 295 - 345 DKK)
Passions - og påskekoncert.,"Højdevangskirken, Irlandsvej 45, Copenhagen S","Sun 25 March 2018, 4 pm  - 5 pm.",
Bachs Johannespassion med Københavns Kantatekor.,"Store Magleby Kirke, Kirkevej 2, Dragør","Sun 25 March 2018, 4 pm  - 6.30 pm.",
Gregory Porter - Få Billetter.,"Operaen, Ekvipagemestervej 10, Copenhagen K","Sun 25 March 2018, 8 pm.","(Entrance fee: 495,00 dkk - 650,00 dkk)"
Series of Four - Khachatryan.,"Det Kongelige Danske Musikkonservatorium (DKDM), Rosenørns Allé 22, Frederiksberg C","Mon 26 March 2018, 7.30 pm.",(Entrance fee: 120)
Brockespassionen / Concerto Copenhagen.,"Garnisonskirken, Sankt Annæ Plads 4, Copenhagen K","Tues 27 March 2018, 8 pm.",(Entrance fee: (Entré: DKK. 200/stud. med gyldigt årskort DKK. 50))
Rhye.,"VEGA, Enghavevej 40, Copenhagen V","Tues 27 March 2018, 8 pm.",
Editors (UK).,"VEGA, Enghavevej 40, Copenhagen V","Wed 28 March 2018, 8 pm.","(Entrance fee: 250,00 DKK)"
Majid Jordan.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Wed 28 March 2018, 9 pm.",(Entrance fee: 310 DKK)
Lukas-passionen.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 29 March 2018, 7.30 pm.",(Entrance fee: 60 - 407 DKK)
Turboweekend.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Thur 29 March 2018, 8 pm.","(Entrance fee: 240,00 DKK)"
Carl Emil Petersen.,"Hotel Cecil, Niels Hemmingsens Gade 10, Copenhagen K","Thur 29 March 2018, 8 pm.","(Entrance fee: 250,00 DKK)"
Tune-Yards (US).,"Pumpehuset, Studiestræde 52, Copenhagen V","Thur 29 March 2018, 9 pm.",
Folkeklubben - En akustisk aften i Folkeklubben.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Fri 30 March 2018, 8 pm.",(Entrance fee: 195 - 320 DKK)
Carl Emil Petersen.,"Hotel Cecil, Niels Hemmingsens Gade 10, Copenhagen K","Fri 30 March 2018, 8 pm.","(Entrance fee: 250,00 DKK)"
Carpenter Brut.,"Pumpehuset, Studiestræde 52, Copenhagen V","Fri 30 March 2018, 9 pm.",(Entrance fee: 230 DKK)
De Danske Hyrder.,"Forbrændingen, Vognporten 11, Albertslund","Fri 30 March 2018, 9 pm.",(Entrance fee: 149 DKK + evt. gebyr)
Påskemesterværk af Joseph Haydn.,"Flintholm Kirke, Junggreensvej 14, Frederiksberg","Sat 31 March 2018, 12.30 am  - 1.30 pm.",
Dvsn.,"Pumpehuset, Studiestræde 52, Copenhagen V","Sat 31 March 2018, 9 pm.","(Entrance fee: 245,00 DKK)"
Barluath.,"Baltoppen Live, Baltorpvej 20, Ballerup","Tues 3 April 2018, 7.30 pm.",(Entrance fee: 140 DKK + evt. gebyr)
Julie Bergan (no) - Flyttet.,"VEGA, Enghavevej 40, Copenhagen V","Tues 3 April 2018, 8 pm.","(Entrance fee: 185,00 DKK)"
Jam-session på Lipperts.,"Medborgerhuset Lipperts, Taastrup Hovedgade 71, Taastrup","Wed 4 April 2018, 6 pm.",(Free admission)
Stephanie Maria (50/50 koncert).,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Wed 4 April 2018, 7.30 pm.",(Entrance fee: 55 DKK)
Helene Blum Harald Haugaard Band.,"Baltoppen Live, Baltorpvej 20, Ballerup","Wed 4 April 2018, 8 pm.",(Entrance fee: 140 DKK + evt. gebyr)
Ida Corr.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Wed 4 April 2018, 8 pm.",(Entrance fee: 220 - 270 DKK)
Fever ray.,"VEGA, Enghavevej 40, Copenhagen V","Wed 4 April 2018, 8 pm.",
3 i 1 Koncert.,"Sundby Kirke, Amagerbrogade 71, Copenhagen S","Wed 4 April 2018, 8 pm  - 9 pm.",
Patricia Petibon.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 5 April 2018, 7.30 pm.",(Entrance fee: 85 - 497 DKK)
Saveus (DK).,"VEGA, Enghavevej 40, Copenhagen V","Thur 5 April 2018, 8 pm.","(Entrance fee: 220,00 DKK)"
Tom Paxton & The DonJuans.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Thur 5 April 2018, 8 pm.",(Entrance fee: 250 DKK)
Avatar.,"Pumpehuset, Studiestræde 52, Copenhagen V","Thur 5 April 2018, 8 pm.","(Entrance fee: 205,00 DKK)"
Young Flowers - 50 års jubilæumsturné.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Fri 6 April 2018, 8 pm.","(Entrance fee: 175,00 DKK)"
Pligten Kalder.,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Fri 6 April 2018, 8 pm.",(Entrance fee: 195 DKK)
Kasper Winding.,"Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup","Fri 6 April 2018, 8 pm.",(Entrance fee: 225 DKK + evt. gebyr)
Clemens - Den Anden Verden (DK).,"VEGA, Enghavevej 40, Copenhagen V","Fri 6 April 2018, 9 pm.","(Entrance fee: 300,00 DKK)"
Halberg & Friends.,"Ellegården, Stavnsholtvej 168, Farum","Fri 6 April 2018, 9 pm.","(Entrance fee: Entre billet 200 DKK, Entre + Jazzmenu 350 DKK)"
Jesper Binzer.,"Pumpehuset, Studiestræde 52, Copenhagen V","Fri 6 April 2018, 9 pm.",(Entrance fee: 275 DKK)
Ida Nielsen Med Band.,"K-I-B, Kulturhuset Islands Brygge, Islands Brygge 18, Copenhagen S","Fri 6 April 2018, 9 pm.",(Entrance fee: 195 DKK + gebyr i forslag - 225 DKK i døren)
Benal.,"Forbrændingen, Vognporten 11, Albertslund","Fri 6 April 2018, 9 pm.",(Entrance fee: 195 DKK + evt. gebyr)
Stig Rossen & Vennerne.,"Danske Seniorer, Griffenfeldsgade 58, Copenhagen N","Sat 7 April 2018, 1.30 pm.",(Entrance fee: unummererede 175 DKK)
De Skønneste Kor.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sat 7 April 2018, 3 pm  & 5 pm.",
"Riel/pasborg ""universe"" Feat. Annisette, Jobarteh M.fl.","Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Sat 7 April 2018, 8 pm.",(Entrance fee: 295 DKK)
Persefone (AD).,"VEGA, Enghavevej 40, Copenhagen V","Sat 7 April 2018, 9 pm.","(Entrance fee: 175,00 DKK)"
The van.,"Templet, Jernbanevej 16, Kongens Lyngby","Sat 7 April 2018, 9 pm.","(Entrance fee: 160,00 DKK)"
Miss Sway.,"Kulturhuset Viften, Rødovre Parkvej 130, Rødovre","Sun 8 April 2018, 12 am.",
Jazz Menu - Forår 2018.,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Sun 8 April 2018, 1 pm.",(Entrance fee: 110 DKK)
Søndagsbal med Rødovre Palmehaveorkester.,"Rødovregaard, Kirkesvinget 1, Rødovre","Sun 8 April 2018, 2 pm  - 5 pm.",(Entrance fee: 50 DKK.)
Din Danske Sang.,"Koncerthuset DR, DR Byen, Emil Holms Kanal 20, Copenhagen C","Sun 8 April 2018, 3 pm.",
Nulle og Verdesnorkestret.,"Sofiekælderen, Overgaden Oven Vandet 32, Copenhagen K","Sun 8 April 2018, 3 pm.","(Entrance fee: 100,-/70,-)"
Violin- og orgelkoncert.,"Mariendals Kirke, Nitivej 17, Frederiksberg","Sun 8 April 2018, 4 pm  - 5 pm.",
Klaverduo Kolarova-Gryesten.,"Store Magleby Kirke, Kirkevej 2, Dragør","Sun 8 April 2018, 4 pm  - 5.30 pm.",
Palæ Bar Jazz.,"Palæ Bar, Ny Adelgade 5, Copenhagen K","Sun 8 April 2018, 5 pm  - 8 pm.",(Free admission)
Slick Rick.,"VEGA, Enghavevej 40, Copenhagen V","Mon 9 April 2018, 8 pm.",(Entrance fee: 425 DKK)
The Simon & Garfunkel Story.,"MusikTeatret Albertslund, Bibliotekstorvet 1-3, Albertslund","Wed 11 April 2018, 7.30 pm.","(Entrance fee: 365,00 DKK)"
Ivan Pedersen & Trio.,"Ishøj Kultur Café, Ishøj Østergade 28, Ishøj","Wed 11 April 2018, 8 pm.",(Entrance fee: 225 DKK)
Anne-marie.,"VEGA, Enghavevej 40, Copenhagen V","Wed 11 April 2018, 8 pm.","(Entrance fee: 220,00 DKK)"
Chris Minh Doky.,"Taastrup Teater & Musikhus, Kjeld Abells Plads 1, Taastrup","Wed 11 April 2018, 8 pm.",(Entrance fee: 185 DKK + evt. gebyr)
Peter Broderick (US).,"Ideal Bar, Enghavevej 40, Copenhagen V","Wed 11 April 2018, 8 pm.","(Entrance fee: 165,00 DKK)"
